Iteration                Wall_Time                Samples                  Train_Return             Train_Count              Test_Return              Test_Count               State_Mean               State_Std                Goal_Mean                Goal_Std                 Exp_Rate                 Exp_Noise                Exp_Temp                 Exp_Samples              Critic_Loss              Critic_Stepsize          Critic_Steps             Actor_Loss               Actor_Stepsize           Actor_Steps              Adv_Mean                 Adv_Std                  
1250                     1.6835481143660016       3753750                  4662.300545553149        150                      7162.688876633592        32                       0.039807875              1.9312035                0                        0                        1.0                      0.4                      10.000000000000002       3751000                  0.01764172               0.01                     238592                   3.9892917                5e-05                    1192960                  0.21719556               19.1646                  
1300                     1.7507235062784618       3903900                  4757.824345846289        150                      7366.906599152378        32                       0.039807875              1.9312035                0                        0                        1.0                      0.4                      10.000000000000002       3901000                  0.017776594              0.01                     248192                   4.0602736                5e-05                    1240960                  0.17814913               18.95405                 
1350                     1.8179282231463327       4054050                  4737.633809490515        150                      7233.290838566452        32                       0.039807875              1.9312035                0                        0                        1.0                      0.4                      10.000000000000002       4051000                  0.013890922              0.01                     257792                   4.11754                  5e-05                    1288960                  0.0648023                16.509724                
1400                     1.884959157705307        4204200                  4876.852223629492        150                      7313.052340450313        32                       0.039807875              1.9312035                0                        0                        1.0                      0.4                      10.000000000000002       4201000                  0.015090377              0.01                     267392                   4.0668178                5e-05                    1336960                  -0.44721368              17.135565                
1450                     1.9519942822058995       4354350                  4796.348876764659        150                      7409.535554936533        32                       0.039807875              1.9312035                0                        0                        1.0                      0.4                      10.000000000000002       4351000                  0.019710403              0.01                     276992                   4.024794                 5e-05                    1384960                  0.29440427               19.534843                
1500                     2.018934789697329        4504500                  5059.639883778711        150                      7452.462827246039        32                       0.039807875              1.9312035                0                        0                        1.0                      0.4                      10.000000000000002       4501000                  0.015444525              0.01                     286592                   4.1142616                5e-05                    1432960                  -0.36815047              17.273842                
1550                     2.086089946693844        4654650                  5045.640697449381        150                      7499.436946662345        32                       0.039807875              1.9312035                0                        0                        1.0                      0.4                      10.000000000000002       4651000                  0.018862875              0.01                     296192                   3.9478414                5e-05                    1480960                  0.88824266               19.111246                
1600                     2.153194735315111        4804800                  5099.2206078777745       150                      7582.846358657244        32                       0.039807875              1.9312035                0                        0                        1.0                      0.4                      10.000000000000002       4801000                  0.013759866              0.01                     305792                   4.1308985                5e-05                    1528960                  1.1361779                16.617434                
1650                     2.22020310137007         4954950                  5102.655140842112        150                      7728.296754541291        32                       0.039807875              1.9312035                0                        0                        1.0                      0.4                      10.000000000000002       4951000                  0.0150636025             0.01                     315392                   4.1052556                5e-05                    1576960                  0.32053056               17.231546                
1700                     2.287649899456236        5105100                  5159.667817255316        150                      7744.5658127167435       32                       0.039807875              1.9312035                0                        0                        1.0                      0.4                      10.000000000000002       5101000                  0.015591856              0.01                     324992                   4.0372496                5e-05                    1624960                  0.483537                 17.621223                
1750                     2.355042298701074        5255250                  5092.953650917607        150                      7997.7621142976195       32                       0.039807875              1.9312035                0                        0                        1.0                      0.4                      10.000000000000002       5251000                  0.018872745              0.01                     334592                   4.0222073                5e-05                    1672960                  0.048877664              19.728338                
1800                     2.422572904560301        5405400                  5049.049641605185        150                      7906.323475860572        32                       0.039807875              1.9312035                0                        0                        1.0                      0.4                      10.000000000000002       5401000                  0.018036474              0.01                     344192                   4.091373                 5e-05                    1720960                  0.5250633                18.632969                
1850                     2.4896125835842557       5555550                  5215.14353650686         150                      8034.827386667062        32                       0.039807875              1.9312035                0                        0                        1.0                      0.4                      10.000000000000002       5551000                  0.017532492              0.01                     353792                   4.0220385                5e-05                    1768960                  0.006759178              18.48879                 
1900                     2.556691669225693        5705700                  5437.3686513446455       150                      7892.762619174258        32                       0.039807875              1.9312035                0                        0                        1.0                      0.4                      10.000000000000002       5701000                  0.017673055              0.01                     363392                   4.10936                  5e-05                    1816960                  -0.6646631               18.611994                
1950                     2.6237688503662744       5855850                  5426.773327207134        150                      8006.807784919037        32                       0.039807875              1.9312035                0                        0                        1.0                      0.4                      10.000000000000002       5851000                  0.016676998              0.01                     372992                   4.058363                 5e-05                    1864960                  0.08368062               17.785141                
2000                     2.6912602090835573       6006000                  5429.606919680469        150                      8027.531926270856        32                       0.039807875              1.9312035                0                        0                        1.0                      0.4                      10.000000000000002       6001000                  0.017711686              0.01                     382592                   4.021254                 5e-05                    1912960                  -0.8924685               18.411741                
2050                     2.7584270820352765       6156150                  5370.104159618037        150                      8291.341250727006        32                       0.039807875              1.9312035                0                        0                        1.0                      0.4                      10.000000000000002       6151000                  0.020211888              0.01                     392192                   4.0726895                5e-05                    1960960                  0.82454354               19.697515                
2100                     2.8254580922921497       6306300                  5456.722015509327        150                      8211.550423785786        32                       0.039807875              1.9312035                0                        0                        1.0                      0.4                      10.000000000000002       6301000                  0.019474825              0.01                     401792                   4.0912166                5e-05                    2008960                  0.3403326                19.594425                
2150                     2.8925148634115856       6456450                  5437.895587011855        150                      8468.952086567837        32                       0.039807875              1.9312035                0                        0                        1.0                      0.4                      10.000000000000002       6451000                  0.026943406              0.01                     411392                   4.022168                 5e-05                    2056960                  0.16355525               22.434416                
2200                     2.959538689653079        6606600                  5459.282762486748        150                      8318.483333187585        32                       0.039807875              1.9312035                0                        0                        1.0                      0.4                      10.000000000000002       6601000                  0.018884322              0.01                     420992                   4.0961785                5e-05                    2104960                  0.45372328               19.250376                
2250                     3.02666599644555         6756750                  5476.303895623828        150                      8330.447402154088        32                       0.039807875              1.9312035                0                        0                        1.0                      0.4                      10.000000000000002       6751000                  0.020091                 0.01                     430592                   4.0643415                5e-05                    2152960                  -0.18823962              20.12889                 
2300                     3.094057215915786        6906900                  5551.079163866185        150                      8238.343134338083        32                       0.039807875              1.9312035                0                        0                        1.0                      0.4                      10.000000000000002       6901000                  0.020190932              0.01                     440192                   3.953932                 5e-05                    2200960                  -0.50225025              20.30372                 
2350                     3.1615447164906394       7057050                  5582.19660939931         150                      8424.545149526084        32                       0.039807875              1.9312035                0                        0                        1.0                      0.4                      10.000000000000002       7051000                  0.017219586              0.01                     449792                   4.072274                 5e-05                    2248960                  -0.37999517              18.40261                 
2400                     3.229092040790452        7207200                  5673.947567106642        150                      8397.711726907854        32                       0.039807875              1.9312035                0                        0                        1.0                      0.4                      10.000000000000002       7201000                  0.017838845              0.01                     459392                   4.0002637                5e-05                    2296960                  0.39162835               18.983809                
2450                     3.2962623954481547       7357350                  5586.360964257051        150                      8569.703873970122        32                       0.039807875              1.9312035                0                        0                        1.0                      0.4                      10.000000000000002       7351000                  0.021547006              0.01                     468992                   3.939585                 5e-05                    2344960                  -0.31306323              20.141665                
2500                     3.3634630932410556       7507500                  5567.246092856005        150                      8486.593586461366        32                       0.039807875              1.9312035                0                        0                        1.0                      0.4                      10.000000000000002       7501000                  0.019266604              0.01                     478592                   4.028829                 5e-05                    2392960                  0.042220104              19.238623                
2550                     3.430624481505818        7657650                  5668.727109239011        150                      8489.92319036844         32                       0.039807875              1.9312035                0                        0                        1.0                      0.4                      10.000000000000002       7651000                  0.023372844              0.01                     488192                   4.056989                 5e-05                    2440960                  -0.27754277              21.485073                
2600                     3.4977966115872063       7807800                  5684.8904029513005       150                      8693.1167397092          32                       0.039807875              1.9312035                0                        0                        1.0                      0.4                      10.000000000000002       7801000                  0.021763077              0.01                     497792                   4.0902247                5e-05                    2488960                  -0.46890992              21.072214                
2650                     3.5651839305294883       7957950                  5657.161738467937        150                      8583.52347283314         32                       0.039807875              1.9312035                0                        0                        1.0                      0.4                      10.000000000000002       7951000                  0.021046853              0.01                     507392                   3.9852555                5e-05                    2536960                  0.03391956               20.476719                
2700                     3.6323833549022675       8108100                  5616.011312874608        150                      8645.36444270394         32                       0.039807875              1.9312035                0                        0                        1.0                      0.4                      10.000000000000002       8101000                  0.023162112              0.01                     516992                   4.006091                 5e-05                    2584960                  0.6054426                21.076632                
2750                     3.6993317409356434       8258250                  5642.752462365988        150                      8313.812382302141        32                       0.039807875              1.9312035                0                        0                        1.0                      0.4                      10.000000000000002       8251000                  0.02826205               0.01                     526592                   3.9317014                5e-05                    2632960                  0.6660676                23.106236                
2800                     3.7665169537067413       8408400                  5691.781517148873        150                      8482.371207148073        32                       0.039807875              1.9312035                0                        0                        1.0                      0.4                      10.000000000000002       8401000                  0.022263346              0.01                     536192                   3.9525468                5e-05                    2680960                  1.0580096                21.13459                 
2850                     3.8338964007298153       8558550                  5704.21637472475         150                      8483.118516797133        32                       0.039807875              1.9312035                0                        0                        1.0                      0.4                      10.000000000000002       8551000                  0.02218888               0.01                     545792                   4.0863347                5e-05                    2728960                  0.06553583               20.787573                
2900                     3.901476255589061        8708700                  5697.195460725852        150                      8679.849609556728        32                       0.039807875              1.9312035                0                        0                        1.0                      0.4                      10.000000000000002       8701000                  0.02640448               0.01                     555392                   3.9803355                5e-05                    2776960                  -0.6376953               23.006386                
2950                     3.968911909196112        8858850                  5634.822391840509        150                      8505.054048257005        32                       0.039807875              1.9312035                0                        0                        1.0                      0.4                      10.000000000000002       8851000                  0.024348596              0.01                     564992                   3.8982475                5e-05                    2824960                  0.41624182               21.586216                
3000                     4.036415064136187        9009000                  5765.588088212961        150                      8449.422771893353        32                       0.039807875              1.9312035                0                        0                        1.0                      0.4                      10.000000000000002       9001000                  0.019363092              0.01                     574592                   4.1181617                5e-05                    2872960                  1.1545429                19.625925                
3050                     4.1040347253614          9159150                  5758.411363145321        150                      8548.700932473845        32                       0.039807875              1.9312035                0                        0                        1.0                      0.4                      10.000000000000002       9151000                  0.023845779              0.01                     584192                   3.9705718                5e-05                    2920960                  -0.9369177               21.618004                
3100                     4.1717354326777984       9309300                  5826.036485710088        150                      8325.70272221668         32                       0.039807875              1.9312035                0                        0                        1.0                      0.4                      10.000000000000002       9301000                  0.023747655              0.01                     593792                   3.9810402                5e-05                    2968960                  -0.350741                21.988993                
3150                     4.239198629392518        9459450                  5853.816290631869        150                      8632.15645719883         32                       0.039807875              1.9312035                0                        0                        1.0                      0.4                      10.000000000000002       9451000                  0.016179336              0.01                     603392                   4.09335                  5e-05                    3016960                  -0.39318064              17.944752                
3200                     4.306678871247503        9609600                  5824.933824176045        150                      8580.323559464696        32                       0.039807875              1.9312035                0                        0                        1.0                      0.4                      10.000000000000002       9601000                  0.0146855675             0.01                     612992                   4.09801                  5e-05                    3064960                  -0.028699184             17.180183                
3250                     4.374165102110969        9759750                  5933.41308760509         150                      8589.033577665092        32                       0.039807875              1.9312035                0                        0                        1.0                      0.4                      10.000000000000002       9751000                  0.020696618              0.01                     622592                   4.011353                 5e-05                    3112960                  -0.20963506              20.023476                
3300                     4.441512028243807        9909900                  5903.355918194567        150                      8818.418583491686        32                       0.039807875              1.9312035                0                        0                        1.0                      0.4                      10.000000000000002       9901000                  0.017080525              0.01                     632192                   4.0815043                5e-05                    3160960                  0.6397125                18.370771                
3350                     4.50902590903971         10060050                 5994.011199433468        150                      8875.242712957457        32                       0.039807875              1.9312035                0                        0                        1.0                      0.4                      10.000000000000002       10051000                 0.018666277              0.01                     641792                   4.016811                 5e-05                    3208960                  0.1487522                19.649199                
3400                     4.5764630229605565       10210200                 6002.7456042186905       150                      8910.891237229664        32                       0.039807875              1.9312035                0                        0                        1.0                      0.4                      10.000000000000002       10201000                 0.016452625              0.01                     651392                   4.125412                 5e-05                    3256960                  -0.97357124              18.162159                
3450                     4.643892440133625        10360350                 5951.559986646656        150                      9018.379829047994        32                       0.039807875              1.9312035                0                        0                        1.0                      0.4                      10.000000000000002       10351000                 0.01816067               0.01                     660992                   4.080257                 5e-05                    3304960                  -0.45979688              19.271307                
3500                     4.7113609559668435       10510500                 6037.121541110681        150                      8553.9861267211          32                       0.039807875              1.9312035                0                        0                        1.0                      0.4                      10.000000000000002       10501000                 0.016044203              0.01                     670592                   4.123998                 5e-05                    3352960                  0.23217107               17.934563                
3550                     4.778886541260613        10660650                 5981.248502345164        150                      8748.147770914204        32                       0.039807875              1.9312035                0                        0                        1.0                      0.4                      10.000000000000002       10651000                 0.020819893              0.01                     680192                   4.0533576                5e-05                    3400960                  0.057981595              20.088556                
3600                     4.846327320535978        10810800                 5831.342760408803        150                      8783.708918758857        32                       0.039807875              1.9312035                0                        0                        1.0                      0.4                      10.000000000000002       10801000                 0.022408225              0.01                     689792                   4.012841                 5e-05                    3448960                  0.2730674                20.964289                
3650                     4.913794002599186        10960950                 6025.847528158946        150                      8951.116279415884        32                       0.039807875              1.9312035                0                        0                        1.0                      0.4                      10.000000000000002       10951000                 0.017832495              0.01                     699392                   4.1146636                5e-05                    3496960                  0.54513824               18.783697                
3700                     4.9811725905206465       11111100                 6084.443504719774        150                      8804.091261337733        32                       0.039807875              1.9312035                0                        0                        1.0                      0.4                      10.000000000000002       11101000                 0.017684309              0.01                     708992                   4.064372                 5e-05                    3544960                  0.44809482               18.631369                
3750                     5.04868016898632         11261250                 5946.033058885905        150                      8959.62493252241         32                       0.039807875              1.9312035                0                        0                        1.0                      0.4                      10.000000000000002       11251000                 0.018878732              0.01                     718592                   4.031462                 5e-05                    3592960                  -0.76179403              19.869038                
