Iteration                Wall_Time                Samples                  Train_Return             Train_Paths              Test_Return              Test_Paths               Critic_Loss              Critic_Steps             Actor_Loss               Actor_Steps              Adv_Mean                 Adv_Std                  Adv_Weights_Min          Adv_Weights_Mean         Adv_Weights_Max          
0                        0.0007904559373855591    3003                     -136.44945778811996      3                        -0.35240970563204027     32                       0.00579463784605163      293                      5.0389828418302045       1465                     -2.2343757               7.398086                 0.026925737              1.7233864                49.454815                
50                       0.1463109279341168       153153                   86.78835147712626        150                      345.20405613697824       32                       0.0013512080033077723    14943                    5.088131932593857        74715                    0.7246671                5.341474                 0.0003792635             1.7984327                698.355                  
100                      0.2941399374273088       303303                   467.9258613999641        150                      1617.4707993328786       32                       0.00821531754711789      29593                    4.470391158276451        147965                   0.65562207               13.080776                0.0004855617             1.5594153                395.14484                
150                      0.44217684699429405      453453                   922.8136780233548        150                      2442.4653150639806       32                       0.01175831934697799      44243                    4.214078831591297        221215                   -0.14765619              15.118766                0.0005012257             1.4379356                174.6441                 
200                      0.5893417635891173       603603                   1479.3298734904113       150                      1855.344017744172        32                       0.011716763720984345     58893                    4.126099549381399        294465                   0.17858103               15.321784                0.00013053606            1.4330753                156.30173                
250                      0.7372135869661967       753753                   1839.1579699125268       150                      3296.0422576147303       32                       0.010336106140865808     73543                    4.182904490187713        367715                   -0.014524404             14.3284445               2.1707348e-05            1.4347278                166.1971                 
300                      0.8847756703694661       903903                   2195.923407540587        150                      3991.9581350605554       32                       0.010802603418916566     88193                    4.1404290209044365       440965                   0.21484639               14.756981                5.7479647e-06            1.4259703                59.371067                
350                      1.0318080835872225       1054053                  2516.1965683996004       150                      4386.299412795238        32                       0.009554411364089913     102843                   4.288422568259386        514215                   0.020872917              13.941346                7.652436e-05             1.4681098                51.471664                
400                      1.1789585403601328       1204203                  2777.5758707025075       150                      4498.468988245209        32                       0.009683503225801748     117493                   4.2369170621800345       587465                   0.9160785                13.996305                2.5497211e-05            1.4678059                78.17107                 
450                      1.3266599347194037       1354353                  2906.797080658411        150                      4864.228590731624        32                       0.011512818190018065     132143                   4.169220616467577        660715                   0.7915374                15.10398                 1.3350934e-06            1.4478108                201.42288                
500                      1.4732152583864          1504503                  3093.2043543334034       150                      4989.025551150356        32                       0.010335154907695262     146793                   4.2824215417022184       733965                   1.0087385                14.4219475               2.0818294e-07            1.4754413                264.24146                
