Iteration                Wall_Time                Samples                  Train_Return             Train_Count              Test_Return              Test_Count               State_Mean               State_Std                Goal_Mean                Goal_Std                 Exp_Rate                 Exp_Noise                Exp_Temp                 Exp_Samples              Critic_Loss              Critic_Stepsize          Critic_Steps             Actor_Loss               Actor_Stepsize           Actor_Steps              Adv_Mean                 Adv_Std                  Adv_Weights_Min          Adv_Weights_Mean         Adv_Weights_Max          
50                       0.08342867963843875      150150                   186.39268625392396       148                      -0.3720913767081155      32                       0.029710868              1.9571834                0                        0                        1.0                      0.4                      10.000000000000002       151000                   0.0023717647             0.01                     14748                    4.7966695                5e-05                    73739                    0.43092224               7.004863                 0.0004276726             1.6253046                231.85146                
100                      0.1679554384946823       300300                   785.2694051336509        150                      282.57459364699713       32                       0.059984874              2.1811426                0                        0                        1.0                      0.4                      10.000000000000002       301000                   0.0074057896             0.01                     29398                    4.3830094                5e-05                    146989                   0.7797903                12.092724                0.000101911355           1.5162272                240.83688                
150                      0.2514367305570179       450450                   1364.3701081632546       150                      1902.7464476839555       32                       0.060093332              2.1849341                0                        0                        1.0                      0.4                      10.000000000000002       451000                   0.010031625              0.01                     44048                    4.2337146                5e-05                    220239                   0.5757112                14.090012                9.654517e-05             1.4484211                108.64659                
200                      0.33462998290856677      600600                   1644.5812819619657       150                      2660.1081130764287       32                       0.060093332              2.1849341                0                        0                        1.0                      0.4                      10.000000000000002       601000                   0.010094475              0.01                     58698                    4.142652                 5e-05                    293489                   0.51801366               13.956985                2.3720206e-05            1.4350036                444.59625                
250                      0.4178144180774689       750750                   1937.2057095755722       150                      2703.6755256974257       32                       0.060093332              2.1849341                0                        0                        1.0                      0.4                      10.000000000000002       751000                   0.009546541              0.01                     73348                    4.2421618                5e-05                    366739                   0.19850093               13.8232565               4.1553427e-05            1.4562709                100.71528                
300                      0.5009692170884874       900900                   2258.85487969655         150                      2853.975874881133        32                       0.060093332              2.1849341                0                        0                        1.0                      0.4                      10.000000000000002       901000                   0.010881254              0.01                     87998                    4.241531                 5e-05                    439989                   0.28078216               14.703033                2.939868e-05             1.4641304                289.90637                
350                      0.5839386128054724       1051050                  2505.500694034824        150                      3774.4249420545607       32                       0.060093332              2.1849341                0                        0                        1.0                      0.4                      10.000000000000002       1051000                  0.011253418              0.01                     102648                   4.2458177                5e-05                    513239                   0.093785204              14.927129                5.6384292e-06            1.4534519                122.426674               
400                      0.6665931436750624       1201200                  2731.2111084239846       150                      3992.9627306142884       32                       0.060093332              2.1849341                0                        0                        1.0                      0.4                      10.000000000000002       1201000                  0.011310593              0.01                     117298                   4.285201                 5e-05                    586489                   0.31772786               14.909857                7.3561954e-05            1.4665705                63.652348                
450                      0.7495875028106901       1351350                  2930.4361592342043       150                      4195.28936737983         32                       0.060093332              2.1849341                0                        0                        1.0                      0.4                      10.000000000000002       1351000                  0.010716105              0.01                     131948                   4.3629637                5e-05                    659739                   0.00934377               14.812419                0.00027140178            1.4797269                84.023026                
500                      0.8325619594918356       1501500                  3116.35062966065         150                      4477.506275628648        32                       0.060093332              2.1849341                0                        0                        1.0                      0.4                      10.000000000000002       1501000                  0.011385947              0.01                     146598                   4.2832637                5e-05                    732989                   0.5336265                15.082432                0.0007522298             1.4720937                38.875942                
550                      0.9155138701200485       1651650                  3260.316218789885        150                      4779.429726178352        32                       0.060093332              2.1849341                0                        0                        1.0                      0.4                      10.000000000000002       1651000                  0.011823824              0.01                     161248                   4.2845607                5e-05                    806239                   0.80858076               15.038782                0.0033221303             1.4800596                82.76672                 
600                      0.9983994609117508       1801800                  3415.985023286316        150                      5039.2045281106575       32                       0.060093332              2.1849341                0                        0                        1.0                      0.4                      10.000000000000002       1801000                  0.012265852              0.01                     175898                   4.284237                 5e-05                    879489                   -0.24262872              15.569054                0.0004105896             1.4685459                49.232796                
650                      1.081391109691726        1951950                  3550.157301188943        150                      5248.086704004305        32                       0.060093332              2.1849341                0                        0                        1.0                      0.4                      10.000000000000002       1951000                  0.014530515              0.01                     190548                   4.1460757                5e-05                    952739                   1.1347799                17.04048                 1.1973813e-07            1.4502505                359.63818                
700                      1.1643206304311753       2102100                  3690.8524859511635       150                      5244.100117229737        32                       0.060093332              2.1849341                0                        0                        1.0                      0.4                      10.000000000000002       2101000                  0.0126632955             0.01                     205198                   4.227171                 5e-05                    1025989                  -0.08209789              15.457608                0.0007808533             1.46212                  519.5728                 
750                      1.2472455124060313       2252250                  3812.150620386785        150                      5375.701252550901        32                       0.060093332              2.1849341                0                        0                        1.0                      0.4                      10.000000000000002       2251000                  0.01416052               0.01                     219848                   4.1073327                5e-05                    1099239                  -0.12239736              16.456137                3.2612654e-08            1.4639087                1848.2131                
800                      1.3304318093591265       2402400                  3919.983896978984        150                      5419.896189840668        32                       0.060093332              2.1849341                0                        0                        1.0                      0.4                      10.000000000000002       2401000                  0.011813547              0.01                     234498                   4.2082334                5e-05                    1172489                  -0.16688453              15.279941                0.000353145              1.4539458                126.52426                
850                      1.4136133686039183       2552550                  4019.9574538537195       150                      6243.722949355685        32                       0.060093332              2.1849341                0                        0                        1.0                      0.4                      10.000000000000002       2551000                  0.011602143              0.01                     249148                   4.122609                 5e-05                    1245739                  0.06328806               15.334638                1.6710565e-08            1.4728906                1075.7911                
900                      1.4967186973492304       2702700                  4234.473561959421        150                      6096.311402500162        32                       0.060093332              2.1849341                0                        0                        1.0                      0.4                      10.000000000000002       2701000                  0.012655713              0.01                     263798                   4.097814                 5e-05                    1318989                  0.21233504               15.663619                9.5278796e-07            1.4123249                104.080536               
950                      1.5798856359057956       2852850                  4329.083813932928        150                      6316.215640860616        32                       0.060093332              2.1849341                0                        0                        1.0                      0.4                      10.000000000000002       2851000                  0.0130779985             0.01                     278448                   4.1441708                5e-05                    1392239                  0.1193475                16.346844                3.3524064e-08            16.710892                260764.9                 
1000                     1.6630850196546978       3003000                  4368.357925218668        150                      6835.121728508863        32                       0.060093332              2.1849341                0                        0                        1.0                      0.4                      10.000000000000002       3001000                  0.016377924              0.01                     293098                   4.0449023                5e-05                    1465489                  0.40385392               17.6743                  1.3345644e-07            1.5964117                4581.833                 
1050                     1.746179436047872        3153150                  4531.630557163279        150                      7156.355737066587        32                       0.060093332              2.1849341                0                        0                        1.0                      0.4                      10.000000000000002       3151000                  0.01295476               0.01                     307748                   4.0679045                5e-05                    1538739                  0.07584511               15.768524                8.52065e-05              1.4141428                62.995754                
1100                     1.8293313308556876       3303300                  4691.51262445315         150                      6818.330512989725        32                       0.060093332              2.1849341                0                        0                        1.0                      0.4                      10.000000000000002       3301000                  0.012787173              0.01                     322398                   4.131637                 5e-05                    1611989                  0.4036223                15.792234                0.000109290406           1.4281174                73.55835                 
1150                     1.9125295764870114       3453450                  4702.264243902337        150                      7727.4300567046685       32                       0.060093332              2.1849341                0                        0                        1.0                      0.4                      10.000000000000002       3451000                  0.017690632              0.01                     337048                   3.9717753                5e-05                    1685239                  -0.6266116               18.478153                1.5327226e-08            1.3860309                425.29742                
1200                     1.9957486833466425       3603600                  4851.254124738765        150                      7753.714204907088        32                       0.060093332              2.1849341                0                        0                        1.0                      0.4                      10.000000000000002       3601000                  0.015090265              0.01                     351698                   4.046547                 5e-05                    1758489                  -0.62470335              17.642048                1.2899157e-07            1.4109057                867.7891                 
1250                     2.0788074012597404       3753750                  4834.671055656116        150                      7829.101320248762        32                       0.060093332              2.1849341                0                        0                        1.0                      0.4                      10.000000000000002       3751000                  0.014642455              0.01                     366348                   4.2172184                5e-05                    1831739                  0.31639713               17.63212                 1.5499196e-09            1.4689068                304.91025                
1300                     2.161692818072107        3903900                  4868.389420661704        150                      8049.366518740856        32                       0.060093332              2.1849341                0                        0                        1.0                      0.4                      10.000000000000002       3901000                  0.015405072              0.01                     380998                   4.0076523                5e-05                    1904989                  0.15566763               17.548206                2.9591599e-08            1.4000432                271.389                  
