Iteration                Wall_Time                Samples                  Train_Return             Train_Count              Test_Return              Test_Count               State_Mean               State_Std                Goal_Mean                Goal_Std                 Exp_Rate                 Exp_Noise                Exp_Temp                 Exp_Samples              Critic_Loss              Critic_Stepsize          Critic_Steps             Actor_Loss               Actor_Stepsize           Actor_Steps              Adv_Mean                 Adv_Std                  Adv_Weights_Min          Adv_Weights_Mean         Adv_Weights_Max          
50                       0.05920158803462982      108221                   130.6242373790029        967                      55.15406865652035        32                       -0.049218494             2.32532                  0                        0                        1.0                      0.4                      10.000000000000002       107283                   0.0053890985             0.01                     10504                    5.181572                 2.5e-05                  52412                    0.51886904               10.3307495               9.5347195e-06            1.8980813                2003.381                 
100                      0.12042798810535008      215577                   274.1250686205023        640                      254.9679435281935        32                       0.050549578              2.2379825                0                        0                        1.0                      0.4                      10.000000000000002       214035                   0.0014318199             0.01                     20954                    5.052314                 2.5e-05                  104560                   0.116639614              5.282475                 6.182621e-07             18.290516                553367.56                
150                      0.18140851318836212      322577                   274.6829829805049        703                      251.19085988611693       32                       0.08576541               2.2158685                0                        0                        1.0                      0.4                      10.000000000000002       320342                   0.0009169034             0.01                     31365                    5.7692547                2.5e-05                  156491                   0.2019485                4.282283                 0.00018646572            4.083504                 7142.1885                
200                      0.2424628088209364       429502                   348.4292527417532        624                      278.14900128920993       32                       0.08576541               2.2158685                0                        0                        1.0                      0.4                      10.000000000000002       426703                   0.003284488              0.01                     41779                    5.2352242                2.5e-05                  208447                   0.054324474              8.125275                 1.4276665e-05            2.2900047                6785.8228                
250                      0.30406108372741275      537031                   392.13527387208666       614                      402.5369117239925        32                       0.08576541               2.2158685                0                        0                        1.0                      0.4                      10.000000000000002       533626                   0.004266385              0.01                     52247                    5.061676                 2.5e-05                  260675                   0.31338796               9.206408                 2.9845182e-09            1.8995225                3426.6177                
300                      0.3660791216293971       645073                   494.5134356596136        559                      525.9300673017383        32                       0.08576541               2.2158685                0                        0                        1.0                      0.4                      10.000000000000002       641049                   0.0069468045             0.01                     62760                    5.0743904                2.5e-05                  313150                   0.4662774                11.619864                2.2551253e-06            1.7706639                1021.4295                
350                      0.42914161576165094      753394                   612.3168117891206        503                      646.6284926781598        32                       0.08576541               2.2158685                0                        0                        1.0                      0.4                      10.000000000000002       748897                   0.0071561453             0.01                     73318                    4.6736836                2.5e-05                  365836                   -0.08283172              12.058721                3.0285198e-06            1.7672566                2935.8958                
400                      0.49221685111522673      861949                   702.5915403767561        461                      721.1430334926085        32                       0.08576541               2.2158685                0                        0                        1.0                      0.4                      10.000000000000002       856951                   0.00961705               0.01                     83894                    4.6450057                2.5e-05                  418620                   -0.29096058              13.574357                7.291862e-08             1.9202776                4741.679                 
450                      0.5546442595455382       970605                   767.2642986104952        436                      804.7548246433987        32                       0.08576541               2.2158685                0                        0                        1.0                      0.4                      10.000000000000002       965275                   0.010345573              0.01                     94497                    4.8584013                2.5e-05                  471536                   -0.25667495              14.295405                9.364923e-07             1.9206787                2205.0771                
500                      0.6172974045409096       1079792                  894.0515322881903        386                      787.5978184509           32                       0.08576541               2.2158685                0                        0                        1.0                      0.4                      10.000000000000002       1074337                  0.012301511              0.01                     105174                   5.041334                 2.5e-05                  524815                   0.5038677                15.181101                1.8404278e-05            2.4514718                20919.613                
550                      0.682110322713852        1190260                  967.3578671596329        362                      1596.5041048986882       32                       0.08576541               2.2158685                0                        0                        1.0                      0.4                      10.000000000000002       1184546                  0.016026253              0.01                     115961                   4.8879538                2.5e-05                  578654                   -0.10373145              17.667143                0.000105647734           2.5313718                11443.964                
600                      0.7468412473466661       1301795                  996.6151093399454        351                      1499.7208770176842       32                       0.08576541               2.2158685                0                        0                        1.0                      0.4                      10.000000000000002       1295345                  0.013529349              0.01                     126809                   4.9191594                2.5e-05                  632778                   -0.5966514               16.337955                6.4998477e-07            2.138043                 9202.896                 
650                      0.8138969023360146       1412848                  1082.7177623506986       329                      2416.852869427313        32                       0.08576541               2.2158685                0                        0                        1.0                      0.4                      10.000000000000002       1406729                  0.014639082              0.01                     137717                   4.906177                 2.5e-05                  687190                   1.1895999                16.825424                0.00012281712            2.2219698                4072.1985                
700                      0.8825564348697662       1529438                  1198.9795391470966       311                      2177.5130916701833       32                       0.08576541               2.2158685                0                        0                        1.0                      0.4                      10.000000000000002       1522754                  0.015134495              0.01                     149071                   5.1837444                2.5e-05                  743866                   0.12739332               16.871273                0.0004381009             2.889155                 6021.9478                
750                      0.9522057693534427       1643866                  1284.086484027993        292                      2653.678953454139        32                       0.08576541               2.2158685                0                        0                        1.0                      0.4                      10.000000000000002       1637089                  0.018839123              0.01                     160262                   4.988944                 2.5e-05                  799717                   -0.020571452             19.060389                2.8267366e-05            2.1764104                8743.852                 
800                      1.02117108338409         1759443                  1313.2813665183214       286                      2605.728029567758        32                       0.08576541               2.2158685                0                        0                        1.0                      0.4                      10.000000000000002       1751901                  0.016143044              0.01                     171501                   4.83866                  2.5e-05                  855802                   1.1139365                17.75401                 0.00012030823            2.1386685                5193.125                 
850                      1.0901720812585618       1872799                  1251.3974546382851       298                      2925.8821662244436       32                       0.08576541               2.2158685                0                        0                        1.0                      0.4                      10.000000000000002       1865586                  0.018862385              0.01                     182626                   5.0010405                2.5e-05                  911336                   -0.85192317              19.17467                 0.0003243357             2.0715444                1910.0104                
900                      1.1598665161927542       1989669                  1340.856440553629        285                      2733.1440199718513       32                       0.08576541               2.2158685                0                        0                        1.0                      0.4                      10.000000000000002       1981498                  0.01745382               0.01                     193972                   5.139206                 2.5e-05                  967959                   -0.9605011               18.574854                0.00054096174            2.185268                 2122.6477                
950                      1.2300330600473617       2106057                  1390.7397393733563       277                      2817.228076334822        32                       0.08576541               2.2158685                0                        0                        1.0                      0.4                      10.000000000000002       2097734                  0.021528468              0.01                     205347                   5.0604386                2.5e-05                  1024741                  0.60829014               20.258984                4.612288e-05             2.0264018                3714.847                 
