Iteration                Wall_Time                Samples                  Train_Return             Train_Count              Test_Return              Test_Count               State_Mean               State_Std                Goal_Mean                Goal_Std                 Exp_Rate                 Exp_Noise                Exp_Temp                 Exp_Samples              Critic_Loss              Critic_Stepsize          Critic_Steps             Actor_Loss               Actor_Stepsize           Actor_Steps              Adv_Mean                 Adv_Std                  Adv_Weights_Min          Adv_Weights_Mean         Adv_Weights_Max          
50                       0.05535550163851844      106200                   -144.57538004178272      1006                     -531.2800301304814       32                       0.006578637              0.30313236               0                        0                        1.0                      0.2                      10.000000000000002       105237                   0.000107815235           0.01                     10301                    2.0040498                0.0005                   51406                    0.44068485               14.663108                0.00030048142            1258.5195                61676540.0               
100                      0.13190779983997344      220987                   -55.52804764315304       527                      -131.46362905741483      32                       0.006578637              0.30313236               0                        0                        1.0                      0.2                      10.000000000000002       219600                   9.130037e-05             0.01                     21496                    1.3961533                0.0005                   107275                   0.33568612               13.508253                2.3699811e-05            140.04266                5687994.5                
150                      0.2280167715417014       347888                   20.631336092574866       238                      4.451557176641183        32                       0.006578637              0.30313236               0                        0                        1.0                      0.2                      10.000000000000002       347095                   4.655897e-05             0.01                     33968                    1.2343023                0.0005                   169553                   -0.19013965              9.6011505                8.487738e-07             6.8524837                29714.936                
200                      0.32809566411707136      479175                   67.42945559188489        175                      136.24418787142275       32                       0.006578637              0.30313236               0                        0                        1.0                      0.2                      10.000000000000002       478207                   3.2469834e-05            0.01                     46790                    1.176441                 0.0005                   233593                   -0.20040427              8.071382                 1.8411729e-08            125.44143                2545374.2                
250                      0.4299037806193034       612553                   77.47908374393523        158                      176.43411280848824       32                       0.006578637              0.30313236               0                        0                        1.0                      0.2                      10.000000000000002       611427                   1.7442128e-05            0.01                     59814                    1.2067008                0.0005                   298661                   -0.048380416             5.8992405                1.1140615e-09            1443.2935                15514613.0               
300                      0.5349653424819311       748540                   99.19482608081468        158                      182.44977399168678       32                       0.006578637              0.30313236               0                        0                        1.0                      0.2                      10.000000000000002       747256                   1.9465651e-05            0.01                     73087                    1.0026004                0.0005                   364996                   0.25578263               6.1791253                5.781233e-07             1947.5118                11197544.0               
350                      0.614995114935769        866654                   187.3352736051089        272                      181.76902446137197       32                       0.006578637              0.30313236               0                        0                        1.0                      0.2                      10.000000000000002       864361                   4.389502e-05             0.01                     84546                    0.80154777               0.0005                   422201                   0.297524                 9.278564                 7.311956e-07             3.4900467                18132.668                
400                      0.6852903199858136       978160                   206.157511439683         361                      184.22612100593125       32                       0.006578637              0.30313236               0                        0                        1.0                      0.2                      10.000000000000002       975424                   3.2283875e-05            0.01                     95418                    0.8415849                0.0005                   476455                   0.11061405               7.990806                 2.694014e-10             22.75937                 716768.1                 
450                      0.7555541478263007       1090711                  208.0968016300423        374                      208.87276071111043       32                       0.006578637              0.30313236               0                        0                        1.0                      0.2                      10.000000000000002       1087706                  3.4044224e-05            0.01                     106404                   0.78387815               0.0005                   531307                   -0.17929494              8.080189                 1.7690772e-10            2165.5889                44872564.0               
500                      0.82450019425816         1201549                  211.2497603775635        378                      207.6990661303082        32                       0.006578637              0.30313236               0                        0                        1.0                      0.2                      10.000000000000002       1198193                  2.0455474e-05            0.01                     117220                   0.8753716                0.0005                   585280                   0.038691513              6.392296                 3.3085835e-05            93.95922                 1943478.6                
550                      0.8927594184875488       1311459                  211.55108244391909       383                      197.08965767412397       32                       0.006578637              0.30313236               0                        0                        1.0                      0.2                      10.000000000000002       1307688                  2.1467351e-05            0.01                     127942                   0.8132055                0.0005                   638769                   0.12800863               6.513503                 5.2132423e-06            27.812529                473389.0                 
600                      0.9613887792163425       1421807                  211.8266111164111        389                      196.92633168453733       32                       0.006578637              0.30313236               0                        0                        1.0                      0.2                      10.000000000000002       1417682                  3.4476896e-05            0.01                     138711                   0.73490226               0.0005                   692503                   0.09068849               8.280015                 2.6971078e-11            72.48268                 1405611.5                
650                      1.029046461780866        1532038                  209.5033294686591        395                      212.49024042535586       32                       0.006578637              0.30313236               0                        0                        1.0                      0.2                      10.000000000000002       1527434                  2.6869771e-05            0.01                     149454                   0.71393704               0.0005                   746117                   -0.13875517              7.3365774                1.8439538e-05            1926.0859                85521500.0               
700                      1.0962466816769705       1641176                  217.28108915556444       388                      208.6918608885224        32                       0.006578637              0.30313236               0                        0                        1.0                      0.2                      10.000000000000002       1636218                  2.5918469e-05            0.01                     160107                   0.6619873                0.0005                   799259                   -0.15867686              7.186163                 4.737496e-09             82.031494                1929958.6                
750                      1.1634476180209055       1751358                  214.60310912340697       398                      210.01498523602677       32                       0.006578637              0.30313236               0                        0                        1.0                      0.2                      10.000000000000002       1746000                  2.5049767e-05            0.01                     170856                   0.64250344               0.0005                   852887                   0.26015633               7.066517                 5.084589e-09             135.92087                1949217.9                
800                      1.2300763303041458       1860825                  214.60140266443736       401                      210.3763909506839        32                       0.006578637              0.30313236               0                        0                        1.0                      0.2                      10.000000000000002       1855500                  2.4469093e-05            0.01                     181573                   0.6401498                0.0005                   906377                   -0.008523255             6.9704256                2.056515e-06             144.53795                4786831.0                
850                      1.297144333322843        1971546                  217.2863861766761        409                      211.66547496274865       32                       0.006578637              0.30313236               0                        0                        1.0                      0.2                      10.000000000000002       1965341                  1.5471696e-05            0.01                     192330                   0.6528629                0.0005                   960038                   0.07699691               5.671832                 1.5611258e-05            109.8064                 2924705.2                
900                      1.3637195735507541       2081087                  218.41990041125504       406                      220.8493506944553        32                       0.006578637              0.30313236               0                        0                        1.0                      0.2                      10.000000000000002       2074544                  1.8141072e-05            0.01                     203019                   0.68159395               0.0005                   1013387                  -0.13294138              5.9568973                7.245713e-05             286.57703                6206452.0                
950                      1.4311721261342367       2191610                  213.2251953960055        400                      203.88010647161317       32                       0.006578637              0.30313236               0                        0                        1.0                      0.2                      10.000000000000002       2184592                  2.4775007e-05            0.01                     213792                   0.65919363               0.0005                   1067146                  -0.0038165983            6.984847                 1.373323e-07             86.71261                 2395245.5                
1000                     1.498967079586453        2302293                  214.11907415183262       403                      217.4014953534139        32                       0.006578637              0.30313236               0                        0                        1.0                      0.2                      10.000000000000002       2295003                  2.5830088e-05            0.01                     224597                   0.60557353               0.0005                   1121083                  0.0056586876             7.244137                 5.3906086e-07            1964.9227                77028280.0               
1050                     1.5655871441629199       2411603                  214.50593071759053       409                      212.0608353501475        32                       0.006578637              0.30313236               0                        0                        1.0                      0.2                      10.000000000000002       2403805                  2.076888e-05             0.01                     235244                   0.60487324               0.0005                   1174230                  0.054321527              6.484389                 7.252607e-12             257129.97                12490614000.0            
1100                     1.6322054009305107       2522192                  216.33623557581714       415                      203.0658012215368        32                       0.006578637              0.30313236               0                        0                        1.0                      0.2                      10.000000000000002       2513945                  2.3167942e-05            0.01                     246025                   0.62340236               0.0005                   1228030                  0.10145299               6.788082                 8.608242e-10             105.85761                2544930.2                
1150                     1.6989513634973101       2632245                  218.029412941884         418                      210.3276517900102        32                       0.006578637              0.30313236               0                        0                        1.0                      0.2                      10.000000000000002       2623600                  1.8789415e-05            0.01                     256758                   0.6170723                0.0005                   1281598                  -0.019097615             6.1515493                4.4468666e-06            6.4204974                133050.47                
1200                     1.7666778378354178       2744035                  218.0539069350251        421                      218.75141302619744       32                       0.006578637              0.30313236               0                        0                        1.0                      0.2                      10.000000000000002       2734991                  2.5494557e-05            0.01                     267659                   0.5873177                0.0005                   1336012                  0.0029738536             7.1207786                1.9479248e-05            65.04094                 739440.44                
1250                     1.8336444132857852       2854468                  217.69930908071643       415                      219.71579229579424       32                       0.006578637              0.30313236               0                        0                        1.0                      0.2                      10.000000000000002       2844985                  2.8939081e-05            0.01                     278423                   0.5591903                0.0005                   1389742                  -0.06452755              7.4274707                5.5451693e-07            517.5173                 20005994.0               
1300                     1.8996668999724917       2963304                  218.74953352025346       417                      214.26865546701862       32                       0.006578637              0.30313236               0                        0                        1.0                      0.2                      10.000000000000002       2953424                  2.3681307e-05            0.01                     289039                   0.5813334                0.0005                   1442716                  -0.10510912              6.881319                 1.9727918e-10            1540.3256                42361012.0               
1350                     1.9661213839054108       3073537                  217.16692882856123       424                      206.81766650616714       32                       0.006578637              0.30313236               0                        0                        1.0                      0.2                      10.000000000000002       3063242                  1.35112805e-05           0.01                     299789                   0.6446658                0.0005                   1496364                  -0.0095738815            5.2132916                7.200184e-06             85.725136                1068065.0                
1400                     2.032298178407881        3183774                  223.04620770789884       434                      214.86107850512857       32                       0.006578637              0.30313236               0                        0                        1.0                      0.2                      10.000000000000002       3173052                  1.7814422e-05            0.01                     310537                   0.5956852                0.0005                   1550002                  -0.011213654             5.938278                 1.5060443e-06            56.272606                1523959.0                
1450                     2.0989592343568804       3293843                  218.8015659002259        421                      218.35060876334987       32                       0.006578637              0.30313236               0                        0                        1.0                      0.2                      10.000000000000002       3282670                  2.0046373e-05            0.01                     321270                   0.60919636               0.0005                   1603549                  0.24036406               6.2599077                0.00017886153            46.3759                  529914.75                
1500                     2.165347806347741        3403884                  220.1635894806575        438                      209.06174445639363       32                       0.006578637              0.30313236               0                        0                        1.0                      0.2                      10.000000000000002       3392263                  2.228664e-05             0.01                     332001                   0.5368834                0.0005                   1657090                  -0.0064288615            6.7357135                6.287341e-13             109.8279                 4112845.5                
1550                     2.2311351131068338       3513588                  221.39967072355302       442                      215.69646642350781       32                       0.006578637              0.30313236               0                        0                        1.0                      0.2                      10.000000000000002       3501500                  1.7520464e-05            0.01                     342697                   0.5761054                0.0005                   1710455                  -0.018697772             5.8860707                2.9380924e-06            59.58211                 2021863.8                
1600                     2.296427661644088        3621997                  217.65204663715713       422                      204.355219594223         32                       0.006578637              0.30313236               0                        0                        1.0                      0.2                      10.000000000000002       3609519                  3.2064752e-05            0.01                     353268                   0.51661944               0.0005                   1763225                  -0.0041345833            7.919748                 8.620064e-06             71.35269                 1462893.1                
1650                     2.3620519781774947       3731419                  221.56265041885044       437                      200.2078032444002        32                       0.006578637              0.30313236               0                        0                        1.0                      0.2                      10.000000000000002       3718495                  2.1905127e-05            0.01                     363937                   0.5486666                0.0005                   1816463                  -0.16595002              6.653212                 1.26974e-10              10.6516695               130320.11                
1700                     2.427725439071655        3840961                  219.61553671857806       440                      224.1290171950335        32                       0.006578637              0.30313236               0                        0                        1.0                      0.2                      10.000000000000002       3827623                  2.1314057e-05            0.01                     374624                   0.5251741                0.0005                   1869773                  -0.070280105             6.450411                 3.1951004e-05            206.51964                8654087.0                
1750                     2.493289506170485        3950648                  221.3732625263585        444                      230.22980791741728       32                       0.006578637              0.30313236               0                        0                        1.0                      0.2                      10.000000000000002       3936863                  2.7584669e-05            0.01                     385320                   0.5106501                0.0005                   1923137                  -0.30157763              7.462507                 3.9116638e-10            206.05902                7769712.0                
1800                     2.5587626073757805       4059739                  221.57141078490696       443                      221.35709192225173       32                       0.006578637              0.30313236               0                        0                        1.0                      0.2                      10.000000000000002       4045475                  2.250265e-05             0.01                     395954                   0.54594815               0.0005                   1976192                  0.1675722                6.7430377                1.8807772e-06            27.237343                796894.94                
1850                     2.623939649860064        4167702                  222.05254449964247       444                      206.28071719230897       32                       0.006578637              0.30313236               0                        0                        1.0                      0.2                      10.000000000000002       4153009                  1.9655616e-05            0.01                     406477                   0.49876365               0.0005                   2028721                  -0.22770311              6.2310495                5.500718e-06             5941362000.0             295208400000000.0        
1900                     2.6909517523315216       4276745                  222.21305976309475       446                      223.76888831933647       32                       0.006578637              0.30313236               0                        0                        1.0                      0.2                      10.000000000000002       4261629                  2.748287e-05             0.01                     417114                   0.4835437                0.0005                   2081784                  -0.032138724             7.3217244                1.555825e-06             42.171696                505367.6                 
1950                     2.755840410457717        4385815                  226.41804179492556       451                      224.00979644511875       32                       0.006578637              0.30313236               0                        0                        1.0                      0.2                      10.000000000000002       4370227                  1.0563646e-05            0.01                     427742                   0.51691526               0.0005                   2134836                  -0.0330479               4.6153336                2.3969424e-06            253.75522                6313780.0                
2000                     2.8202583611011507       4494425                  226.26222805969485       460                      216.18838493888038       32                       0.006578637              0.30313236               0                        0                        1.0                      0.2                      10.000000000000002       4478353                  1.7302125e-05            0.01                     438330                   0.5250939                0.0005                   2187655                  -0.035843566             5.9402394                2.267877e-05             55.563633                834991.4                 
2050                     2.8850784738196267       4603493                  228.08746579090732       457                      224.86770584695745       32                       0.006578637              0.30313236               0                        0                        1.0                      0.2                      10.000000000000002       4586965                  1.5852007e-05            0.01                     448957                   0.5321982                0.0005                   2240713                  0.112065                 5.5694766                1.0100209e-05            15.355294                485394.94                
2100                     2.9493842966689003       4712196                  229.5639718384572        464                      223.555308720703         32                       0.006578637              0.30313236               0                        0                        1.0                      0.2                      10.000000000000002       4695230                  9.639099e-06             0.01                     459555                   0.5374939                0.0005                   2293602                  -0.097018406             4.3226824                0.00072822376            210.51978                6355191.0                
2150                     3.0138216514719858       4820944                  228.64316165198656       471                      219.99873174564564       32                       0.006578637              0.30313236               0                        0                        1.0                      0.2                      10.000000000000002       4803482                  1.0441007e-05            0.01                     470152                   0.5289128                0.0005                   2346482                  0.039944865              4.4779534                8.23389e-05              456.93375                18014336.0               
2200                     3.0788324785232546       4931357                  226.43307741288203       487                      229.8616036280276        32                       0.006578637              0.30313236               0                        0                        1.0                      0.2                      10.000000000000002       4913383                  1.1144792e-05            0.01                     480906                   0.47268966               0.0005                   2400169                  0.029481813              4.792696                 7.745963e-09             999578.1                 49634435000.0            
2250                     3.1426895287301804       5039548                  229.0198842877896        468                      230.76453397637334       32                       0.006578637              0.30313236               0                        0                        1.0                      0.2                      10.000000000000002       5021181                  1.0242496e-05            0.01                     491459                   0.48699093               0.0005                   2452832                  -0.04034815              4.48306                  3.962379e-07             2.8998291                7631.4194                
