Iteration                Wall_Time                Samples                  Train_Return             Train_Count              Test_Return              Test_Count               State_Mean               State_Std                Goal_Mean                Goal_Std                 Exp_Rate                 Exp_Noise                Exp_Temp                 Exp_Samples              Critic_Loss              Critic_Stepsize          Critic_Steps             Actor_Loss               Actor_Stepsize           Actor_Steps              Adv_Mean                 Adv_Std                  Adv_Weights_Min          Adv_Weights_Mean         Adv_Weights_Max          
50                       0.08060204916530185      106405                   181.21185410079633       1066                     79.57426861842283        32                       0.053501584              0.6614605                0                        0                        1.0                      0.4                      10.000000000000002       105371                   0.00031709563            0.01                     10315                    2.237575                 2.5e-05                  102922                   0.015003008              4.9718924                3.693692e-09             1.5167755                487.2826                 
100                      0.16357964562045205      212567                   252.66835549582328       851                      226.5484812055048        32                       0.040090524              0.6637294                0                        0                        1.0                      0.4                      10.000000000000002       210755                   0.00050839054            0.01                     20632                    2.5956316                2.5e-05                  205860                   0.32389015               6.441425                 1.3315756e-05            1.8571167                788.86346                
150                      0.24735851764678954      319400                   341.62757176347833       691                      319.44506692146837       32                       0.004929044              0.7461454                0                        0                        1.0                      0.4                      10.000000000000002       316866                   0.00025860732            0.01                     31021                    2.2615564                2.5e-05                  309506                   0.3386515                4.612169                 4.3695814e-10            1.5221176                56.772144                
200                      0.33055646783775755      425454                   399.801308712522         717                      417.77373822800905       32                       0.004929044              0.7461454                0                        0                        1.0                      0.4                      10.000000000000002       422195                   0.00010927597            0.01                     41330                    2.498359                 2.5e-05                  412387                   0.13470234               2.9520905                8.0171376e-05            1.7466964                432.0095                 
250                      0.4131665383444892       530606                   413.1046872912684        709                      440.5387054670445        32                       0.004929044              0.7461454                0                        0                        1.0                      0.4                      10.000000000000002       526647                   0.00016371884            0.01                     51556                    1.9038348                2.5e-05                  514414                   0.09186943               3.5507221                2.3540028e-15            1.2820824                69.385765                
300                      0.4964017936256197       636949                   426.6601294624463        698                      444.32123902945864       32                       0.004929044              0.7461454                0                        0                        1.0                      0.4                      10.000000000000002       632283                   8.54494e-05              0.01                     61897                    2.9179325                2.5e-05                  617600                   0.06496501               2.6213286                0.0009687055             5.255882                 38105.824                
350                      0.5810223401255078       744764                   560.3510921663841        559                      473.93990436069595       32                       0.004929044              0.7461454                0                        0                        1.0                      0.4                      10.000000000000002       739616                   0.000558632              0.01                     72401                    2.2187297                2.5e-05                  722441                   0.25515074               6.6513333                1.7190463e-10            1.5078332                110.82781                
400                      0.6686407719718085       855258                   891.8884489865457        373                      712.3793839854849        32                       0.004929044              0.7461454                0                        0                        1.0                      0.4                      10.000000000000002       850117                   0.00056004245            0.01                     83217                    2.4742496                2.5e-05                  830375                   0.44095176               6.7269793                0.00267742               1.7864876                1353.1298                
450                      0.7647621512413025       976695                   1913.249153634813        197                      1365.7881330752127       32                       0.004929044              0.7461454                0                        0                        1.0                      0.4                      10.000000000000002       971754                   0.00033248332            0.01                     95123                    2.5057547                2.5e-05                  949185                   0.29326272               5.1542883                0.00012443574            1.7427024                361.84772                
500                      0.8614555133051343       1097022                  1971.074574686515        191                      2199.3523671349167       32                       0.004929044              0.7461454                0                        0                        1.0                      0.4                      10.000000000000002       1091383                  0.0003794428             0.01                     106832                   2.384336                 2.5e-05                  1066034                  -0.015489711             5.4580636                1.1370253e-05            1.6845536                873.1656                 
550                      0.9589023736450407       1215012                  1950.460196961418        192                      3248.099045489524        32                       0.004929044              0.7461454                0                        0                        1.0                      0.4                      10.000000000000002       1209170                  0.0004710726             0.01                     118356                   2.3396897                2.5e-05                  1181082                  0.08846785               6.095985                 1.5920749e-06            1.64551                  463.89975                
600                      1.0555936868985494       1332406                  1722.971041271158        220                      3283.2449961163456       32                       0.004929044              0.7461454                0                        0                        1.0                      0.4                      10.000000000000002       1326131                  0.00031151963            0.01                     129806                   2.3830984                2.5e-05                  1295325                  -0.032091                4.9761686                3.6137724e-05            1.6471357                231.02763                
650                      1.1546718283494313       1453159                  1734.579354595967        226                      3294.5424334220734       32                       0.004929044              0.7461454                0                        0                        1.0                      0.4                      10.000000000000002       1446681                  0.00039385585            0.01                     141601                   2.1031318                2.5e-05                  1413074                  -0.41148934              5.532775                 3.3679357e-19            1.431185                 262.63055                
700                      1.252434818347295        1571794                  1733.8578122951726       223                      3268.5017644270783       32                       0.004929044              0.7461454                0                        0                        1.0                      0.4                      10.000000000000002       1565421                  0.00028319965            0.01                     153221                   2.4493937                2.5e-05                  1529054                  -0.17262533              4.7472916                0.00027724367            1.7732767                497.01566                
