Iteration                Wall_Time                Samples                  Train_Return             Train_Count              Test_Return              Test_Count               State_Mean               State_Std                Goal_Mean                Goal_Std                 Exp_Rate                 Exp_Noise                Exp_Temp                 Exp_Samples              Critic_Loss              Critic_Stepsize          Critic_Steps             Actor_Loss               Actor_Stepsize           Actor_Steps              Adv_Mean                 Adv_Std                  Adv_Weights_Min          Adv_Weights_Mean         Adv_Weights_Max          
50                       0.0828923507531484       105792                   170.6728383784335        1250                     238.3668226084985        32                       0.20074283               0.58471155               0                        0                        1.0                      0.4                      10.000000000000002       104559                   0.00037193994            0.01                     10239                    2.29519                  5e-05                    102132                   0.39691797               5.4403853                1.538662e-07             1.5691042                174.16211                
100                      0.16700171013673146      211008                   216.41417465990665       1105                     217.35799991621886       32                       0.18469734               0.58598393               0                        0                        1.0                      0.4                      10.000000000000002       208674                   9.033484e-05             0.01                     20435                    2.2935395                5e-05                    203831                   0.02589434               2.670941                 2.7445e-09               1.6840898                1720.209                 
150                      0.251390096478992        317192                   263.0247182439073        987                      221.93739868621972       32                       0.15125532               0.6644882                0                        0                        1.0                      0.4                      10.000000000000002       313897                   0.0004864104             0.01                     30737                    2.1868012                5e-05                    306610                   0.44956273               6.1524415                2.6957592e-08            1.4880912                151.89146                
200                      0.3367063976658715       424109                   351.34350120209433       829                      327.7130331987597        32                       0.15125532               0.6644882                0                        0                        1.0                      0.4                      10.000000000000002       420000                   0.00032957853            0.01                     41125                    1.9523402                5e-05                    410249                   0.5467456                5.192087                 2.720157e-13             1.3445524                60.271297                
250                      0.42159747759501137      530168                   393.0075877762942        766                      415.32427061698934       32                       0.15125532               0.6644882                0                        0                        1.0                      0.4                      10.000000000000002       525296                   0.000267817              0.01                     51430                    1.8178394                5e-05                    513101                   0.15722957               4.64177                  6.2085794e-14            1.2413197                43.29357                 
300                      0.5063140047258801       636266                   403.6994415378481        752                      430.3460787987437        32                       0.15125532               0.6644882                0                        0                        1.0                      0.4                      10.000000000000002       630598                   0.0003822353             0.01                     61743                    1.8008974                5e-05                    615959                   -0.00064760516           5.521373                 6.150437e-14             2.2317843                14225.845                
350                      0.5915892975197898       743093                   419.1436126163388        730                      434.29212131836107       32                       0.15125532               0.6644882                0                        0                        1.0                      0.4                      10.000000000000002       736782                   0.0008535597             0.01                     72138                    2.3212228                5e-05                    719676                   0.30616763               8.387858                 2.4571667e-09            1.7647711                1130.4545                
400                      0.6774890259239409       850382                   585.4122721020632        552                      578.6760175287648        32                       0.15125532               0.6644882                0                        0                        1.0                      0.4                      10.000000000000002       843672                   0.0007041428             0.01                     82602                    2.2919388                5e-05                    824085                   0.24907368               7.5016804                3.1877376e-11            2.0310826                4984.544                 
450                      0.7657900444666544       960303                   890.5971123573039        377                      858.2217712744304        32                       0.15125532               0.6644882                0                        0                        1.0                      0.4                      10.000000000000002       953202                   0.0008415996             0.01                     93325                    2.1301475                5e-05                    931072                   0.38620016               8.059144                 4.1740607e-13            1.4842783                142.84799                
500                      0.858527583943473        1074265                  1289.0098313975063       276                      1380.6604335524676       32                       0.15125532               0.6644882                0                        0                        1.0                      0.4                      10.000000000000002       1067346                  0.000645466              0.01                     104498                   2.1677158                5e-05                    1042565                  0.33240372               7.1454945                1.1946037e-15            1.5495598                1384.517                 
