Iteration                Wall_Time                Samples                  Train_Return             Train_Count              Test_Return              Test_Count               State_Mean               State_Std                Goal_Mean                Goal_Std                 Exp_Rate                 Exp_Noise                Exp_Temp                 Exp_Samples              Critic_Loss              Critic_Stepsize          Critic_Steps             Actor_Loss               Actor_Stepsize           Actor_Steps              Adv_Mean                 Adv_Std                  Adv_Weights_Min          Adv_Weights_Mean         Adv_Weights_Max          
50                       0.10374319169256423      146427                   834.9170615483328        148                      1002.0500704378921       32                       0.011869914              0.24783441               0                        0                        1.0                      0.2                      10.000000000000002       147277                   0.00093147665            0.01                     14388                    2.6200407                5e-05                    71923                    0.09328699               4.3147507                3.4189944e-09            1.5307477                65.24247                 
100                      0.20328408426708644      283878                   860.460199850334         155                      1021.7406030118572       32                       0.013000595              0.25513682               0                        0                        1.0                      0.2                      10.000000000000002       284573                   0.0028010826             0.01                     27809                    2.2632997                5e-05                    138975                   0.13243951               7.5198803                2.2530594e-06            1.3667914                39.467594                
150                      0.2967368452416526       411682                   830.1972474235487        168                      1164.324955102439        32                       0.012870473              0.25584096               0                        0                        1.0                      0.2                      10.000000000000002       412209                   0.0041128183             0.01                     40297                    2.4992163                5e-05                    201318                   0.46207717               9.12065                  4.1362364e-06            1.4373927                382.683                  
200                      0.38769739237096573      537269                   737.21942541863          193                      1345.2363750482168       32                       0.012870473              0.25584096               0                        0                        1.0                      0.2                      10.000000000000002       537603                   0.0071864105             0.01                     52563                    2.4715512                5e-05                    262572                   -0.1793565               11.910228                5.2864663e-05            1.4097764                450.98193                
250                      0.4769840621948242       662547                   688.4264386950275        209                      1090.2134559782698       32                       0.012870473              0.25584096               0                        0                        1.0                      0.2                      10.000000000000002       662332                   0.007819396              0.01                     64768                    2.420663                 5e-05                    323497                   -0.004952259             12.413631                5.103098e-05             1.3848041                1062.8822                
300                      0.565131123330858        785354                   647.6452111267142        225                      1094.7196585248248       32                       0.012870473              0.25584096               0                        0                        1.0                      0.2                      10.000000000000002       785241                   0.008500817              0.01                     76795                    2.3865383                5e-05                    383534                   -0.28665364              13.006548                0.00019597728            1.3614212                952.64014                
350                      0.6514674868848589       904795                   682.4179108377981        206                      1073.6709484406651       32                       0.012870473              0.25584096               0                        0                        1.0                      0.2                      10.000000000000002       904489                   0.007594713              0.01                     88468                    2.4464357                5e-05                    441787                   -0.06372178              12.46468                 5.605095e-05             1.3810333                293.17407                
400                      0.7400258560975392       1026230                  665.1210693842928        215                      1262.6759418502038       32                       0.012870473              0.25584096               0                        0                        1.0                      0.2                      10.000000000000002       1025709                  0.008561414              0.01                     100330                   2.4367573                5e-05                    500998                   -0.017281068             13.234274                0.00010534108            1.3920801                1097.4764                
450                      0.829873224761751        1149442                  621.2721379810242        237                      1366.2599271835738       32                       0.012870473              0.25584096               0                        0                        1.0                      0.2                      10.000000000000002       1148684                  0.008793232              0.01                     112361                   2.4760382                5e-05                    561066                   -0.11556423              13.267404                0.00012006535            1.521428                 4951.2896                
500                      0.9207771484719383       1274580                  689.7179434218389        217                      1249.7678904114214       32                       0.012870473              0.25584096               0                        0                        1.0                      0.2                      10.000000000000002       1273605                  0.009138413              0.01                     124586                   2.487696                 5e-05                    622090                   0.043813717              13.387906                7.5707656e-05            1.5093435                3474.3145                
550                      1.0067852644787894       1393730                  649.359308569771         225                      1095.5049376701352       32                       0.012870473              0.25584096               0                        0                        1.0                      0.2                      10.000000000000002       1392269                  0.010674598              0.01                     136196                   2.4397957                5e-05                    680060                   -0.16319488              14.602699                0.00020281317            1.3871276                1076.6445                
600                      1.0952326630221474       1516238                  670.5685343889237        221                      1253.000234458421        32                       0.012870473              0.25584096               0                        0                        1.0                      0.2                      10.000000000000002       1514234                  0.008999108              0.01                     148131                   2.5667722                5e-05                    739640                   0.24464884               13.56149                 9.11625e-05              1.4111054                375.76257                
650                      1.1847163042094973       1639164                  678.9897772410969        233                      1093.6053731412042       32                       0.012870473              0.25584096               0                        0                        1.0                      0.2                      10.000000000000002       1637250                  0.01156807               0.01                     160168                   2.452043                 5e-05                    799732                   -0.06559946              15.151485                0.00020910513            1.3735363                220.32253                
700                      1.2752380184994803       1762047                  665.8900552107677        231                      1237.023142218139        32                       0.012870473              0.25584096               0                        0                        1.0                      0.2                      10.000000000000002       1760057                  0.010572126              0.01                     172186                   2.4334574                5e-05                    859725                   0.22049902               14.582546                0.00018445475            1.3686525                194.21555                
750                      1.3684955608844758       1890227                  673.7589679857891        231                      1163.9364274224376       32                       0.012870473              0.25584096               0                        0                        1.0                      0.2                      10.000000000000002       1887584                  0.011512547              0.01                     184660                   2.5031087                5e-05                    922022                   -0.16260974              14.877699                0.0001521175             1.4189868                756.8371                 
800                      1.455768637723393        2010002                  675.0213216743965        217                      1077.168881977995        32                       0.012870473              0.25584096               0                        0                        1.0                      0.2                      10.000000000000002       2007669                  0.0121583985             0.01                     196410                   2.4489973                5e-05                    980683                   -0.37545744              15.6003065               0.0001691895             2.1635625                39085.48                 
850                      1.5480430018901825       2134580                  791.4488572145335        197                      1511.9391158956696       32                       0.012870473              0.25584096               0                        0                        1.0                      0.2                      10.000000000000002       2132050                  0.011565502              0.01                     208581                   2.464583                 5e-05                    1041440                  -0.25035226              15.025176                0.00015208313            1.4522305                1414.415                 
900                      1.6378167670965196       2257439                  664.8028798617731        228                      1331.4848145514504       32                       0.012870473              0.25584096               0                        0                        1.0                      0.2                      10.000000000000002       2254681                  0.01199364               0.01                     220578                   2.4581826                5e-05                    1101342                  0.5665492                15.585755                0.00020211267            1.3883755                248.60703                
950                      1.728724236422115        2383278                  698.2695910689109        249                      1339.8846976467034       32                       0.012870473              0.25584096               0                        0                        1.0                      0.2                      10.000000000000002       2380271                  0.01455104               0.01                     232870                   2.4956784                5e-05                    1162689                  -0.39480016              17.27194                 0.00026160336            1.5337813                4901.139                 
1000                     1.8175460108121235       2505837                  819.8598535859763        210                      1368.7175495310528       32                       0.012870473              0.25584096               0                        0                        1.0                      0.2                      10.000000000000002       2502620                  0.013381486              0.01                     244843                   2.463109                 5e-05                    1222451                  0.24431293               16.245752                0.00012009696            1.3831612                276.4253                 
1050                     1.9087457613812553       2630165                  850.752178996337         217                      1684.8273327189136       32                       0.012870473              0.25584096               0                        0                        1.0                      0.2                      10.000000000000002       2626731                  0.014317531              0.01                     256987                   2.444259                 5e-05                    1283076                  0.024752717              16.846432                0.00011769334            1.3883762                1060.4476                
1100                     1.9999685521258248       2756374                  977.4048769688152        194                      1573.580544381228        32                       0.012870473              0.25584096               0                        0                        1.0                      0.2                      10.000000000000002       2752746                  0.014969126              0.01                     269315                   2.409413                 5e-05                    1344632                  -0.51238126              17.261436                4.148564e-05             1.76125                  11299.555                
1150                     2.0905550559361776       2879535                  968.8214146389346        199                      2158.702603247568        32                       0.012870473              0.25584096               0                        0                        1.0                      0.2                      10.000000000000002       2875411                  0.015616728              0.01                     281322                   2.450853                 5e-05                    1404549                  -0.36863273              17.218805                3.1612843e-05            1.3872342                557.0419                 
1200                     2.181690364215109        3003973                  1001.2769789289416       202                      2020.1786278954341       32                       0.012870473              0.25584096               0                        0                        1.0                      0.2                      10.000000000000002       2999944                  0.016822863              0.01                     293506                   2.378013                 5e-05                    1465382                  -0.10355046              18.0991                  4.8883754e-05            1.355411                 333.12457                
1250                     2.2726987817552353       3128230                  1068.4463189940643       203                      1924.3148532501414       32                       0.012870473              0.25584096               0                        0                        1.0                      0.2                      10.000000000000002       3123998                  0.020624936              0.01                     305645                   2.4361558                5e-05                    1525979                  0.30250072               19.819893                0.0001519883             1.4267569                1044.4481                
1300                     2.3644160619709225       3254491                  1303.784934130339        188                      2143.57214697582         32                       0.012870473              0.25584096               0                        0                        1.0                      0.2                      10.000000000000002       3250071                  0.01758694               0.01                     317979                   2.5749438                5e-05                    1587560                  1.5205249                19.057468                2.2758719e-05            1.5608726                889.68066                
1350                     2.4568595176272923       3380412                  1427.4964070655667       168                      2719.9883795067963       32                       0.012870473              0.25584096               0                        0                        1.0                      0.2                      10.000000000000002       3375824                  0.016677588              0.01                     330282                   2.2952306                5e-05                    1648986                  0.41934958               18.087015                1.19024635e-05           1.3260332                314.14468                
1400                     2.54903647157881         3506624                  1432.5358938104462       180                      2710.6988491737648       32                       0.012870473              0.25584096               0                        0                        1.0                      0.2                      10.000000000000002       3501640                  0.019699764              0.01                     342591                   2.3938267                5e-05                    1710442                  0.52402335               19.745344                1.3142462e-05            1.4540559                2279.4011                
1450                     2.642237641016642        3634784                  1465.62431836451         187                      2579.1004500970585       32                       0.012870473              0.25584096               0                        0                        1.0                      0.2                      10.000000000000002       3629829                  0.022787435              0.01                     355131                   2.2837012                5e-05                    1773058                  0.043394223              21.432259                3.0679694e-05            1.3268837                172.34586                
