Iteration                Wall_Time                Samples                  Train_Return             Train_Count              Test_Return              Test_Count               State_Mean               State_Std                Goal_Mean                Goal_Std                 Exp_Rate                 Exp_Noise                Exp_Temp                 Exp_Samples              Critic_Loss              Critic_Stepsize          Critic_Steps             Actor_Loss               Actor_Stepsize           Actor_Steps              Adv_Mean                 Adv_Std                  Adv_Weights_Min          Adv_Weights_Mean         Adv_Weights_Max          
50                       0.08289770033624437      150150                   106.6554206738741        148                      -0.33374017166177833     32                       0.031510305              1.8828814                0                        0                        1.0                      0.4                      10.000000000000002       151000                   0.0014413865             0.01                     14748                    5.0227895                5e-05                    73739                    0.49478647               5.44471                  0.0018005904             1.7125009                140.85843                
100                      0.16664618810017903      300300                   812.7435885353207        150                      868.6019894474758        32                       0.053458605              2.1179194                0                        0                        1.0                      0.4                      10.000000000000002       301000                   0.004411084              0.01                     29398                    4.6125565                5e-05                    146989                   1.569189                 9.352249                 0.004195003              1.5688795                72.12481                 
150                      0.24947184152073332      450450                   1613.3774817374676       150                      1664.1181303528365       32                       0.05390784               2.124258                 0                        0                        1.0                      0.4                      10.000000000000002       451000                   0.005884887              0.01                     44048                    4.558037                 5e-05                    220239                   1.049779                 10.835946                0.0034362806             1.5618522                56.27721                 
200                      0.3328133950630824       600600                   2092.5092712570454       150                      3078.5785824260447       32                       0.05390784               2.124258                 0                        0                        1.0                      0.4                      10.000000000000002       601000                   0.007934515              0.01                     58698                    4.37048                  5e-05                    293489                   0.13145438               12.558848                0.0016778348             1.4988788                35.097847                
250                      0.41606502340899576      750750                   2437.444757453235        150                      3415.279669523961        32                       0.05390784               2.124258                 0                        0                        1.0                      0.4                      10.000000000000002       751000                   0.007824959              0.01                     73348                    4.376762                 5e-05                    366739                   -0.135456                12.593526                0.0010345671             1.4994473                38.959953                
300                      0.4993844081295861       900900                   2628.0343772822457       150                      3650.835315894335        32                       0.05390784               2.124258                 0                        0                        1.0                      0.4                      10.000000000000002       901000                   0.009513371              0.01                     87998                    4.2416677                5e-05                    439989                   -0.02942881              13.635729                2.2994698e-06            1.4605254                146.37918                
350                      0.5826510079701741       1051050                  2870.134922839356        150                      3966.022967807782        32                       0.05390784               2.124258                 0                        0                        1.0                      0.4                      10.000000000000002       1051000                  0.00841812               0.01                     102648                   4.2507915                5e-05                    513239                   0.13653584               13.019039                0.00062211667            1.4734013                79.21745                 
400                      0.665918331278695        1201200                  3067.863479930062        150                      4636.081243201958        32                       0.05390784               2.124258                 0                        0                        1.0                      0.4                      10.000000000000002       1201000                  0.00797042               0.01                     117298                   4.2106466                5e-05                    586489                   0.08362773               12.67888                 1.599709e-06             1.4559885                149.33046                
450                      0.7500399972995122       1351350                  3189.752543900049        150                      5049.606356623963        32                       0.05390784               2.124258                 0                        0                        1.0                      0.4                      10.000000000000002       1351000                  0.010013348              0.01                     131948                   4.0866256                5e-05                    659739                   0.29877165               14.043145                5.4665527e-08            1.4446778                304.1714                 
500                      0.8340762855609258       1501500                  3329.203698920912        150                      4926.3220897188085       32                       0.05390784               2.124258                 0                        0                        1.0                      0.4                      10.000000000000002       1501000                  0.0073518315             0.01                     146598                   4.306651                 5e-05                    732989                   -0.1242362               12.199378                0.0008597918             1.4896723                77.11485                 
